ID,Media,FamSize,Hilary,Trump,Age,Partner,Education,SpouseEdu,Employment,Birthplace,GBirth,Dependent,Housing,Income,Education2,PartyID,Marital
300001,3,3,1,6,29,-1,9,-8,1,1,0,1,3,13,2,2,1
300002,7,2,1,6,26,2,13,-1,1,1,0,0,4,17,5,2,5
300003,3,2,3,5,23,2,9,-1,1,1,-8,2,1,6,2,3,5
300004,7,1,2,4,58,-1,9,13,1,1,0,0,3,20,2,4,1
300006,5,3,3,-8,38,2,9,-1,1,1,1,3,1,3,2,3,3
300007,7,3,1,5,60,-1,14,14,1,1,0,1,2,1,6,4,1
300008,3,1,-8,-8,58,-1,5,9,1,4,4,0,2,22,1,1,1
300012,7,1,2,6,56,1,9,9,1,1,1,0,2,28,2,3,2
300018,7,0,1,5,45,2,9,-1,1,1,0,0,1,12,2,3,4
300020,7,3,5,7,30,-1,10,13,1,1,2,2,2,19,3,3,1
300021,1,1,-8,5,40,1,7,6,1,1,0,0,3,11,1,3,3
300023,7,1,2,7,86,2,10,-1,5,1,2,0,3,14,3,3,2
300026,7,1,2,5,30,1,13,11,1,4,4,0,1,24,5,4,5
300030,7,1,1,7,67,-1,12,9,5,1,1,0,1,14,4,1,1
300034,7,0,3,6,62,2,14,-1,1,1,0,0,1,10,6,1,3
300038,0,0,-8,-8,51,2,9,-1,6,1,0,0,1,3,2,1,5
300039,7,3,3,6,46,-1,14,13,1,1,3,2,2,27,6,1,1
300040,6,0,2,6,70,2,13,-1,5,1,0,0,2,16,5,2,3
300041,7,3,3,7,30,-1,14,14,1,1,2,2,2,26,6,1,1
300042,7,1,3,3,67,-1,10,10,5,1,4,0,3,22,3,2,1
300045,4,0,1,6,66,2,9,-1,5,1,0,0,3,20,2,2,2
300046,7,0,4,6,32,2,12,-1,1,1,0,0,1,3,4,2,5
300047,2,3,4,-8,56,-1,10,9,1,1,0,0,2,-9,3,4,1
300049,7,0,2,5,65,2,14,-1,5,1,1,0,3,15,6,4,2
300050,7,1,1,5,61,-1,8,9,1,1,0,0,1,13,1,3,1
300051,5,0,-8,-8,34,2,7,-1,1,1,0,0,1,9,1,3,5
300053,7,0,4,1,68,2,13,-1,1,1,1,0,1,-9,5,3,3
300056,7,2,4,4,25,1,9,9,1,1,0,1,1,17,2,3,5
300058,7,1,3,5,73,-1,14,14,5,1,4,0,3,17,6,3,1
300059,7,1,1,4,67,-1,9,10,5,1,2,0,2,22,2,3,1
300062,6,3,6,3,35,-1,14,12,1,1,0,2,2,22,6,1,1
300064,7,1,1,5,64,-1,13,10,1,1,1,0,2,24,5,2,1
300070,4,1,1,6,73,-1,10,12,5,1,4,0,3,-9,3,2,1
300072,7,3,1,5,69,-1,13,12,5,1,0,2,2,17,5,3,1
